Character,Played By,S1,S2,S3,S4,Time S1,Time S2,Time S3,Time S4,Total Screen Time,# of Episodes,S-1,S-2,S-3,S-4,Dead or Alive,Deceased in,Death By,Character Season Check,Allegiance,Age,
Tyrion Lannister,Peter Dinklage,52:48,64:24,49:03,56:24,52m 48s,1h 4m 24s 0ms,49m 3s,56m 24s 0ms,3h 42m 39s,36,TRUE,TRUE,TRUE,TRUE,Alive,,,1,House Targaryen,37,
Jon Snow,Kit Harington,59:35,33:20,35:46,43:53,59m 35s 0ms,33m 20s 0ms,35m 46s,43m 53s,2h 52m 34s,32,TRUE,TRUE,TRUE,TRUE,Alive,,,1,House of Stark,20,
Daenerys Targaryen,Emilia Clarke,57:00,38:58,31:37,29:33,57m,38m 58s,31m 37s 0ms,29m 33s 0ms,2h 37m 8s,33,TRUE,TRUE,TRUE,TRUE,Alive,,,1,House Targaryen,20,
Cersei Lannister,Lena Headey,28:03,38:46,23:13,41:44,28m 3s 0ms,38m 46s,23m 13s,41m 44s,2h 11m 46s,36,TRUE,TRUE,TRUE,TRUE,Alive,,,1,"House Lannister
House Baratheon of King's Landing",41,
Arya Stark,Maisie Williams,33:47,38:06,28:18,25:55,33m 47s,38m 6s,28m 18s 0ms,25m 55s,2h 6m 6s 0ms,33,TRUE,TRUE,TRUE,TRUE,Alive,,,1,House Stark,15,
Sansa Stark,Sophie Turner,26:20,28:15,31:07,35:43,26m 20s 0ms,28m 15s,31m 7s,35m 43s,2h 1m 25s 0ms,31,TRUE,TRUE,TRUE,TRUE,Alive,,,1,"House Stark - by birth
House Lannister - by forced marriage
House Baelish - as Alayne",17,
Jaime Lannister,Nikolaj Coster-Waldau,19:56,14:55,36:34,38:59,19m 56s,14m 55s 0ms,36m 34s,38m 59s,1h 50m 24s 0ms,28,TRUE,TRUE,TRUE,TRUE,Alive,,,1,"The Kingsguard
House Lannister",41,
Theon Greyjoy,Alfie Allen,19:22,41:48,23:01,12:14,19m 22s,41m 48s,23m 1s 0ms,12m 14s,1h 36m 25s 0ms,26,TRUE,TRUE,TRUE,TRUE,Alive,,,1,House Greyjoy,,
Eddard Stark,Sean Bean,94:35,0,0,0,1h 34m 35s 0ms,0w,0w,0w,1h 34m 35s 0ms,9,TRUE,FALSE,FALSE,FALSE,Deceased,1,Executed by Ser Ilyn Payne at the order of Joffrey Baratheon,0,House Stark,,
Catelyn Stark (Tully),Michelle Fairley,47:40,23:36,19:58,0,47m 40s 0ms,23m 36s 0ms,19m 58s 0ms,0w,1h 31m 14s 0ms,25,TRUE,TRUE,TRUE,FALSE,Deceased,3,Throat slit by Black Walder Rivers,0,"House Stark - by marriage
House Tully - by birth",,
Robb Stark,Richard Madden,28:18,30:14,28:40,0,28m 18s 0ms,30m 14s 0ms,28m 40s,0w,1h 27m 12s 0ms,22,TRUE,TRUE,TRUE,FALSE,Deceased,3,"Shot several times by Frey crossbowmen, then stabbed through the heart by Roose Bolton",0,House Stark,19,
Jorah Mormont,Iain Glen,31:13,18:33,22:32,14:42,31m 13s 0ms,18m 33s 0ms,22m 32s 0ms,14m 42s,1h 27m 0s 0ms,31,TRUE,TRUE,TRUE,TRUE,Alive,,,1,"House Targaryen (by oath)
Varys (formerly)
Golden Company (formerly)
House Mormont (by birth)",,
Samwell Tarly,John Bradley,22:24,12:05,27:17,25:04,22m 24s 0ms,12m 5s 0ms,27m 17s,25m 4s,1h 26m 50s,26,TRUE,TRUE,TRUE,TRUE,Alive,,,1,"The Night's Watch
House Tarly (by birth)",22,
Tywin Lannister,Charles Dance,9:25,17:17,22:57,33:11,9m 25s,17m 17s,22m 57s,33m 11s,1h 22m 50s 0ms,26,TRUE,TRUE,TRUE,TRUE,Deceased,4,"Shot by his own son Tyrion, with a crossbow.",1,House Lannister,67,
Petyr Baelish,Aidan Gillen,28:53,20:51,10:16,19:27,28m 53s 0ms,20m 51s,10m 16s 0ms,19m 27s,1h 19m 27s,24,TRUE,TRUE,TRUE,TRUE,Alive,,,1,House Baelish,,
Brandon Stark,Isaac Hempstead-Wright,27:02,13:52,17:02,11:29,27m 2s 0ms,13m 52s 0ms,17m 2s,11m 29s,1h 9m 25s,26,TRUE,TRUE,TRUE,TRUE,Alive,,,1,House Stark,14,
Sandor Clegane,Rory McCann,9:22,13:17,16:24,29:23,9m 22s,13m 17s 0ms,16m 24s 0ms,29m 23s,1h 8m 26s,27,TRUE,TRUE,TRUE,TRUE,Alive,,Critically wounded by Brienne of Tarth and left to die by Arya Stark,1,"House Baratheon of King's Landing (former)
The Kingsguard (former)
House Clegane (former)",,
Joffrey Baratheon,Jack Gleeson,17:41,19:07,17:34,12:53,17m 41s,19m 7s,17m 34s 0ms,12m 53s 0ms,1h 7m 15s 0ms,25,TRUE,TRUE,TRUE,TRUE,Deceased,4,Poisoned at his wedding feast by Olenna Tyrell with the assistance of Petyr Baelish,1,"House Baratheon of King's Landing 
House Lannister",19,
Varys,Conleth Hill,22:47,16:25,18:05,8:20,22m 47s 0ms,16m 25s 0ms,18m 5s,8m 20s 0ms,1h 5m 37s,24,TRUE,TRUE,TRUE,TRUE,Alive,,,1,House Targaryen,,
Brienne of Tarth,Gwendoline Christie,0,18:51,20:47,20:39,0w,18m 51s,20m 47s 0ms,20m 39s 0ms,1h 0m 17s 0ms,21,FALSE,TRUE,TRUE,TRUE,Alive,,,0,"House Tarth
House Baratheon
Renly Baratheon's Kingsguard
House Tully",,
Davos Seaworth,Liam Cunningham,0,21:30,22:30,11:22,0w,21m 30s,22m 30s,11m 22s,55m 22s 0ms,14,FALSE,TRUE,TRUE,TRUE,Alive,,,0,"House Baratheon of Dragonstone
House Seaworth",,
Margaery Tyrell,Natalie Dormer,0,10:00,22:51,20:30,0w,10m,22m 51s,20m 30s,53m 21s,16,FALSE,TRUE,TRUE,TRUE,Deceased,6,,0,"House Tyrell (by birth)
House Baratheon of King's Landing (by marriage)
House Baratheon (by marriage, annulled)",,
Ygritte,Rose Leslie,0,16:23,26:32,7:53,0w,16m 23s 0ms,26m 32s,7m 53s,50m 48s,16,FALSE,TRUE,TRUE,TRUE,Deceased,4,Shot with an arrow by Olly,0,Free Folk,,
Shae,Sibel Kekilli,8:40,17:22,14:43,9:15,8m 40s 0ms,17m 22s,14m 43s 0ms,9m 15s,50m,20,TRUE,TRUE,TRUE,TRUE,Deceased,4,Strangled to death by Tyrion Lannister,1,None,,
Bronn,Jerome Flynn,15:58,13:45,7:11,10:08,15m 58s 0ms,13m 45s 0ms,7m 11s 0ms,10m 8s,47m 2s,20,TRUE,TRUE,TRUE,TRUE,Alive,,,1,House Stokeworth (by marriage),,
Stannis Baratheon,Stephen Dillane,0,19:59,16:46,9:51,0w,19m 59s,16m 46s,9m 51s,46m 36s,16,FALSE,TRUE,TRUE,TRUE,Deceased,5,,0,"House Baratheon of Dragonstone
House Baratheon of Storm's End",,
Gendry,Joe Dempsie,2:51,13:42,22:41,0,2m 51s 0ms,13m 42s,22m 41s 0ms,0w,39m 14s,17,TRUE,TRUE,TRUE,FALSE,Alive,,,0,None,,
Melisandre,Carice van Houten,0,12:41,19:41,5:27,0w,12m 41s,19m 41s,5m 27s,37m 49s,13,FALSE,TRUE,TRUE,TRUE,Alive,,,0,House Baratheon of Dragonstone,,
Pycelle,Julian Glover,16:20,8:19,3:59,8:04,16m 20s 0ms,8m 19s 0ms,3m 59s 0ms,8m 4s,36m 42s,21,TRUE,TRUE,TRUE,TRUE,Deceased,6,,1,"House Lannister
Order of Maesters",,
Barristan Selmy,Ian McElhinney,10:33,0,15:10,10:23,10m 33s,0w,15m 10s,10m 23s 0ms,36m 6s,21,TRUE,FALSE,TRUE,TRUE,Deceased,5,,0,"Queensguard
Kingsguard (former)
House Selmy (former)",,
Grenn,Mark Stanley,10:12,8:11,6:29,9:50,10m 12s,8m 11s,6m 29s,9m 50s,34m 42s,26,TRUE,TRUE,TRUE,TRUE,Alive,,,1,The Night's Watch,,
Talisa Maegyr,Oona Chaplin,0,13:49,18:36,0,0w,13m 49s,18m 36s,0w,32m 25s 0ms,12,FALSE,TRUE,TRUE,FALSE,Deceased,3,Stabbed repeatedly by Lothar Frey,0,"House Stark
Maegyr family",,
Podrick Payne,Daniel Portman,0,5:52,6:47,17:44,0w,5m 52s 0ms,6m 47s,17m 44s,30m 23s 0ms,17,FALSE,TRUE,TRUE,TRUE,Alive,,,0,"House Lannister
House Payne",,
Osha,Natalia Tena,8:07,10:56,11:10,0,8m 7s,10m 56s,11m 10s 0ms,0w,30m 13s,14,TRUE,TRUE,TRUE,FALSE,Deceased,6,,0,House Stark,,
Oberyn Martell,Pedro Pascal,0,0,0,30:07,0w,0w,0w,30m 7s,30m 7s,7,FALSE,FALSE,FALSE,TRUE,Deceased,4,Skull crushed by Ser Gregor Clegane,0,"House Martell
Second Sons (formerly)
The Citadel (formerly)",,
Robert Baratheon,Mark Addy,29:38,0,0,0,29m 38s,0w,0w,0w,29m 38s,7,TRUE,FALSE,FALSE,FALSE,Deceased,1,"Mortally wounded by a wild boar after drinking wine given to him by Lancel Lannister, on orders from Cersei Lannister",0,House Baratheon,,
Ramsay Snow,Iwan Rheon,0,0,13:43,13:53,0w,0w,13m 43s,13m 53s,27m 36s 0ms,9,FALSE,FALSE,TRUE,TRUE,Alive,Deceased,6,0,House Bolton,,
Khal Drogo,Jason Momoa,25:15,2:05,0,0,25m 15s,2m 5s 0ms,0w,0w,27m 20s,10,TRUE,TRUE,FALSE,FALSE,Deceased,2,Smothered by Daenerys Targaryen in a mercy killing after being left in a vegetative state by Mirri Maz Duur,0,Himself,,
Gilly,Hannah Murray,0,3:00,15:08,8:52,0w,3m,15m 8s,8m 52s,27m,12,FALSE,TRUE,TRUE,TRUE,Alive,,,0,None,,
Hodor,Kristian Nairn,2:48,7:28,8:47,7:22,2m 48s 0ms,7m 28s,8m 47s 0ms,7m 22s,26m 25s,22,TRUE,TRUE,TRUE,TRUE,Deceased,6,,1,House Stark,,
Loras Tyrell,Finn Jones,5:13,9:30,7:11,3:54,5m 13s,9m 30s,7m 11s 0ms,3m 54s,25m 48s,14,TRUE,TRUE,TRUE,TRUE,Deceased,6,,1,"House Tyrell
House Baratheon of Storm's End (former)
Renly I's Kingsguard (former)",,
Renly Baratheon,Gethin Anthony,11:42,13:44,0,0,11m 42s 0ms,13m 44s,0w,0w,25m 26s 0ms,8,TRUE,TRUE,FALSE,FALSE,Deceased,2,Killed by a Shadow-creature birthed by Melisandre,0,House Baratheon of Storm's End,,
Olenna Tyrell,Diana Rigg,0,0,14:54,9:32,0w,0w,14m 54s 0ms,9m 32s,24m 26s,9,FALSE,FALSE,TRUE,TRUE,Alive,,,0,"House Tyrell - by marriage
House Redwyne - by birth",,
Maester Luwin,Donald Sumpter,8:09,16:13,0,0,8m 9s,16m 13s 0ms,0w,0w,24m 22s,14,TRUE,TRUE,FALSE,FALSE,Deceased,2,Stabbed in the abdomen with a spear by Dagmer Cleftjaw and has his suffering ended by Osha,0,"Order of Maesters
Winterfell",,
Missandei,Nathalie Emmanuel,0,0,11:39,12:31,0w,0w,11m 39s,12m 31s 0ms,24m 10s 0ms,16,FALSE,FALSE,TRUE,TRUE,Alive,,,0,House Targaryen,,
Jeor Mormont,James Cosmo,10:37,7:44,5:21,0,10m 37s 0ms,7m 44s 0ms,5m 21s 0ms,0w,23m 42s 0ms,12,TRUE,TRUE,TRUE,FALSE,Deceased,3,Stabbed to death by Rast,0,"The Night's Watch
House Mormont",,
Ros,Esme Bianco,8:20,10:22,3:30,0,8m 20s 0ms,10m 22s,3m 30s,0w,22m 12s,15,TRUE,TRUE,TRUE,FALSE,Deceased,3,"Shot numerous times with a crossbow, one fatally to the heart by Joffrey Baratheon",0,"Petyr Baelish
Varys",,
Tommen Baratheon,Callum Wharry,1:46,5:40,0,14:30,1m 46s,5m 40s 0ms,0w,14m 30s,21m 56s 0ms,13,TRUE,TRUE,FALSE,TRUE,Deceased,6,,0,House Baratheon of King's Landing,,
Jojen Reed,Thomas Sangster,0,0,12:09,9:28,0w,0w,12m 9s,9m 28s 0ms,21m 37s,11,FALSE,FALSE,TRUE,TRUE,Deceased,4,"Stabbed multiple times by a wight, mercy-killed by Meera and blasted by a fireball",0,"House Reed
House Stark",,
Eddison Tollett,Ben Crompton,0,6:42,5:58,8:35,0w,6m 42s 0ms,5m 58s,8m 35s 0ms,21m 15s,17,FALSE,TRUE,TRUE,TRUE,Alive,,,0,The Night's Watch,,
Meera Reed,Ellie Kendrick,0,0,10:24,10:43,0w,0w,10m 24s,10m 43s,21m 7s,10,FALSE,FALSE,TRUE,TRUE,Alive,,,0,"House Reed
House Stark",,
Roose Bolton,Michael McElhatton,0,3:59,9:42,6:47,0w,3m 59s 0ms,9m 42s 0ms,6m 47s,20m 28s,13,FALSE,TRUE,TRUE,TRUE,Deceased,6,,0,House Bolton,,
Viserys Targaryen,Harry Lloyd,20:15,0,0,0,20m 15s,0w,0w,0w,20m 15s,5,TRUE,FALSE,FALSE,FALSE,Deceased,1,Burned with molten gold by Khal Drogo,0,House Targaryen,,
Rast,Luke McEwan,7:27,0,6:11,5:44,7m 27s 0ms,0w,6m 11s 0ms,5m 44s,19m 22s,12,TRUE,FALSE,TRUE,TRUE,Deceased,4,Savaged by Ghost,0,"The Betrayers
The Night's Watch (formerly)",,
Alliser Thorne,Owen Teale,7:43,0,0,11:34,7m 43s,0w,0w,11m 34s 0ms,19m 17s,9,TRUE,FALSE,FALSE,TRUE,Deceased,6,,0,"The Night's Watch
House Thorne (by birth)",,
Doreah,Roxanne McKee,14:27,4:40,0,0,14m 27s 0ms,4m 40s,0w,0w,19m 7s 0ms,11,TRUE,TRUE,FALSE,FALSE,Unknown,,,0,"Xaro Xhoan Daxos
House Targaryen (Former)",,
Tormund Giantsbane,Kristofer Hivju,0,0,10:27,8:39,0w,0w,10m 27s,8m 39s,19m 6s 0ms,12,FALSE,FALSE,TRUE,TRUE,Alive,,,0,"The Free Folk
Mance Rayder",,
