,name_x,isdead_bk,ismale,book1,book2,book3,book4,book5,isalivemother_bk,isalivefather_bk,isaliveheir_bk,isalivespouse_bk,ismarried_bk,isnoble_bk,booldeadrelations_bk,ispopular_bk,death_bk,apperance_chp,hasmom_bk,hasdad_bk,hasheir_bk,hasspouse_bk,age_bk,numdeadrelations_bk,popularity_bk,culture_bk,house_bk,name_y,isdead_shw,death_season,time_s1,time_s2,time_s3,time_s4,total_episode_num,season1,season2,season3,season4,house_shw,age_shw,match_name_x,name,sum_rating,total_viewers,match_name_y,culture_bk[T.Assha],culture_bk[T.Astap],culture_bk[T.Braav],culture_bk[T.Crann],culture_bk[T.Dorne],culture_bk[T.Dorni],culture_bk[T.Dothr],culture_bk[T.First],culture_bk[T.Free ],culture_bk[T.Ghisc],culture_bk[T.Ibben],culture_bk[T.Ironb],culture_bk[T.Ironm],culture_bk[T.Lhaza],culture_bk[T.Lysen],culture_bk[T.Meere],culture_bk[T.Myris],culture_bk[T.Naath],culture_bk[T.None],culture_bk[T.North],culture_bk[T.Norvo],culture_bk[T.Pento],culture_bk[T.Qarth],culture_bk[T.Qohor],culture_bk[T.Reach],culture_bk[T.Rhoyn],culture_bk[T.River],culture_bk[T.Siste],culture_bk[T.Storm],culture_bk[T.Summe],culture_bk[T.The R],culture_bk[T.Tyros],culture_bk[T.Vale],culture_bk[T.Vale ],culture_bk[T.Valem],culture_bk[T.Valyr],culture_bk[T.Weste],culture_bk[T.Wildl],culture_bk[T.free ],culture_bk[T.ironb],culture_bk[T.north],culture_bk[T.weste],house_bk[T.BROTHERHOOD WITHOUT BANNERS],house_bk[T.FAITH OF THE SEVEN],house_bk[T.HOUSE ARRYN],house_bk[T.HOUSE BAELISH],house_bk[T.HOUSE BARATHEON],house_bk[T.HOUSE BOLTON],house_bk[T.HOUSE BOTLEY],house_bk[T.HOUSE BRACKEN],house_bk[T.HOUSE CLEGANE],house_bk[T.HOUSE FREY],house_bk[T.HOUSE GREYJOY],house_bk[T.HOUSE HIGHTOWER],house_bk[T.HOUSE LANNISTER],house_bk[T.HOUSE MARTELL],house_bk[T.HOUSE OF LORAQ],house_bk[T.HOUSE OSGREY],house_bk[T.HOUSE STARK],house_bk[T.HOUSE TARGARYEN],house_bk[T.HOUSE TULLY],house_bk[T.HOUSE TYRELL],house_bk[T.HOUSE WHENT],house_bk[T.NIGHTS WATCH],house_bk[T.OTHER],house_bk[T.STONE CROWS],house_bk[T.UNKNOWN],house_shw[T.House Bolton],house_shw[T.House Greyjoy],house_shw[T.House Lannister],house_shw[T.House Stark],house_shw[T.House Targaryen],house_shw[T.Nights Watch],house_shw[T.None],house_shw[T.Other]
0,Abelar Hightower,0,1,0,0,0,0,0,,,,,0.0,1,0.0,0.0,,28.0,0,0,0,0,36.0,0.0,0.0,None,HOUSE HIGHTOWER,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,27.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Addam,0,1,0,0,0,0,0,,,,,0.0,1,0.0,0.0,,28.0,0,0,0,0,36.0,0.0,0.00668896321070234,None,UNKNOWN,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,27.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,Addam Frey,0,1,0,0,0,0,0,,,,,0.0,1,0.0,0.0,,28.0,0,0,0,0,36.0,0.0,0.0267558528428093,None,HOUSE FREY,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,27.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,Addam Marbrand,0,1,1,1,1,1,1,,,,,0.0,1,0.0,0.0,,56.0,0,0,0,0,36.0,0.0,0.130434782608695,None,OTHER,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,27.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,Addam Osgrey,1,1,0,0,0,0,0,,,,,0.0,0,0.0,0.0,,28.0,0,0,0,0,13.0,0.0,0.0367892976588628,None,HOUSE OSGREY,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,27.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,Addam Velaryon,1,1,0,0,0,0,0,,,,,0.0,1,0.0,0.0,,28.0,0,0,0,0,16.0,0.0,0.107023411371237,Valyr,OTHER,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,27.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,Addison Hill,0,1,0,0,0,1,0,,,,,0.0,1,0.0,0.0,,28.0,0,0,0,0,36.0,0.0,0.267558528428093,None,OTHER,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,27.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,Adrack Humble,1,1,0,0,0,0,1,,,,,,1,0.0,1.0,5.0,20.0,0,0,0,0,36.0,0.0,0.0,None,OTHER,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,27.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,Aegon Blackfyre,1,1,0,0,1,0,0,,,,,0.0,0,1.0,0.0,,28.0,0,0,0,0,12.0,2.0,0.0836120401337792,Valyr,OTHER,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,27.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,Aegon Frey (Jinglebell),1,1,0,0,1,0,0,,,,,,1,0.0,1.0,3.0,49.0,0,0,0,0,36.0,0.0,0.0,None,OTHER,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,27.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
